Inicio log nanducho cargue archivo compras 2017-10-04 16:05:04 -0500
27/07/2017,FACT2000-0163,PVUWWWAL,6. Linea 163> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0164,PVUWWWZL,4. Linea 164> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0165,PVGWWSZ,144.8. Linea 165> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0166,PVGWWBE,27.6. Linea 166> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0167,PVGWWGE,21.4. Linea 167> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0168,PVGWWLE,27.5. Linea 168> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0169,PVGWWZZ,52.9. Linea 169> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0170,PVGWWZE,68.1. Linea 170> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0171,PVUWWWPL,2. Linea 171> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0172,PVGWSLZ,117.1. Linea 172> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0173,PVGWWZZ,19.1. Linea 173> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0174,PVGWWEZ,293.5. Linea 174> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0175,PVGWWAZ,70.9. Linea 175> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0176,PVGWWSZ,600.6. Linea 176> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0177,PVGWWGZ,330.8. Linea 177> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0178,PVGWWFZ,274.3. Linea 178> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0179,PVGWSFZ,704.4. Linea 179> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0180,PVGWBFZ,54.3. Linea 180> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0181,PVGWWBZ,25.5. Linea 181> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0182,PVGWWPZ,82.5. Linea 182> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0183,PVGWSPZ,222.9. Linea 183> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0184,PVGWWWE,465.9. Linea 184> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0185,PVGWSWE,41.8. Linea 185> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0186,PVGWWZE,85.3. Linea 186> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0187,PVGWSEE,40.2. Linea 187> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0188,PVGWWSE,20.7. Linea 188> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0189,PVGWWWZ,27.3. Linea 189> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0190,PVGWWSZ,85.6. Linea 190> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0191,PVGWWFZ,135.2. Linea 191> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0192,PVGWSFZ,1049.1. Linea 192> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0193,PVGWWBZ,347.5. Linea 193> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0194,PVGWWPZ,320.5. Linea 194> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0195,PVGWWWE,378.9. Linea 195> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0196,PVGWWLE,274.3. Linea 196> compras ok| kardex ok| inventario actualizado ok
